,Frame,Phase,video
0,0.jpg,0,1
1,0.jpg,0,1
2,100.jpg,0,1
3,100.jpg,0,1
4,200.jpg,0,1
5,200.jpg,0,1
6,300.jpg,0,1
7,300.jpg,0,1
8,400.jpg,0,1
9,400.jpg,0,1
10,500.jpg,0,1
11,500.jpg,0,1
12,600.jpg,1,1
13,700.jpg,1,1
14,800.jpg,1,1
15,900.jpg,1,1
16,1000.jpg,1,1
17,1100.jpg,1,1
18,1200.jpg,1,1
19,1300.jpg,1,1
20,1400.jpg,1,1
21,1500.jpg,1,1
22,1600.jpg,1,1
23,1700.jpg,1,1
24,1800.jpg,1,1
25,1900.jpg,1,1
26,2000.jpg,1,1
27,2100.jpg,1,1
28,2200.jpg,1,1
29,2300.jpg,1,1
30,2400.jpg,1,1
31,2500.jpg,1,1
32,2600.jpg,1,1
33,2700.jpg,1,1
34,2800.jpg,1,1
35,2900.jpg,1,1
36,3000.jpg,1,1
37,3100.jpg,1,1
38,3200.jpg,1,1
39,3300.jpg,1,1
40,3400.jpg,1,1
41,3500.jpg,1,1
42,3600.jpg,1,1
43,3700.jpg,1,1
44,3800.jpg,1,1
45,3900.jpg,1,1
46,4000.jpg,1,1
47,4100.jpg,1,1
48,4200.jpg,1,1
49,4300.jpg,1,1
50,4400.jpg,1,1
51,4500.jpg,1,1
52,4600.jpg,1,1
53,4700.jpg,1,1
54,4800.jpg,1,1
55,4900.jpg,1,1
56,5000.jpg,1,1
57,5100.jpg,1,1
58,5200.jpg,1,1
59,5300.jpg,1,1
60,5400.jpg,1,1
61,5500.jpg,1,1
62,5600.jpg,1,1
63,5700.jpg,1,1
64,5800.jpg,1,1
65,5900.jpg,1,1
66,6000.jpg,1,1
67,6100.jpg,1,1
68,6200.jpg,1,1
69,6300.jpg,1,1
70,6400.jpg,1,1
71,6500.jpg,1,1
72,6600.jpg,1,1
73,6700.jpg,1,1
74,6800.jpg,1,1
75,6900.jpg,1,1
76,7000.jpg,1,1
77,7100.jpg,1,1
78,7200.jpg,1,1
79,7300.jpg,1,1
80,7400.jpg,1,1
81,7500.jpg,1,1
82,7600.jpg,1,1
83,7700.jpg,1,1
84,7800.jpg,1,1
85,7900.jpg,1,1
86,8000.jpg,1,1
87,8100.jpg,1,1
88,8200.jpg,1,1
89,8300.jpg,1,1
90,8400.jpg,1,1
91,8500.jpg,1,1
92,8600.jpg,1,1
93,8700.jpg,1,1
94,8800.jpg,1,1
95,8900.jpg,1,1
96,9000.jpg,1,1
97,9100.jpg,1,1
98,9200.jpg,1,1
99,9300.jpg,1,1
100,9400.jpg,1,1
101,9500.jpg,1,1
102,9600.jpg,1,1
103,9700.jpg,1,1
104,9800.jpg,1,1
105,9900.jpg,1,1
106,10000.jpg,1,1
107,10100.jpg,1,1
108,10200.jpg,1,1
109,10300.jpg,1,1
110,10400.jpg,1,1
111,10500.jpg,1,1
112,10600.jpg,1,1
113,10700.jpg,1,1
114,10800.jpg,1,1
115,10900.jpg,1,1
116,11000.jpg,1,1
117,11100.jpg,1,1
118,11200.jpg,1,1
119,11300.jpg,1,1
120,11400.jpg,1,1
121,11500.jpg,1,1
122,11600.jpg,1,1
123,11700.jpg,1,1
124,11800.jpg,1,1
125,11900.jpg,1,1
126,12000.jpg,1,1
127,12100.jpg,1,1
128,12200.jpg,1,1
129,12300.jpg,1,1
130,12400.jpg,1,1
131,12500.jpg,1,1
132,12600.jpg,1,1
133,12700.jpg,1,1
134,12800.jpg,1,1
135,12900.jpg,1,1
136,13000.jpg,1,1
137,13100.jpg,1,1
138,13200.jpg,1,1
139,13300.jpg,1,1
140,13400.jpg,1,1
141,13500.jpg,1,1
142,13600.jpg,1,1
143,13700.jpg,1,1
144,13800.jpg,1,1
145,13900.jpg,1,1
146,14000.jpg,1,1
147,14100.jpg,1,1
148,14200.jpg,1,1
149,14300.jpg,1,1
150,14400.jpg,1,1
151,14500.jpg,1,1
152,14600.jpg,1,1
153,14700.jpg,1,1
154,14800.jpg,1,1
155,14900.jpg,1,1
156,15000.jpg,1,1
157,15100.jpg,1,1
158,15200.jpg,1,1
159,15300.jpg,1,1
160,15400.jpg,1,1
161,15500.jpg,1,1
162,15600.jpg,1,1
163,15700.jpg,1,1
164,15800.jpg,1,1
165,15900.jpg,1,1
166,16000.jpg,1,1
167,16100.jpg,1,1
168,16200.jpg,1,1
169,16300.jpg,1,1
170,16400.jpg,1,1
171,16500.jpg,1,1
172,16600.jpg,1,1
173,16700.jpg,1,1
174,16800.jpg,1,1
175,16900.jpg,2,1
176,16900.jpg,2,1
177,17000.jpg,2,1
178,17000.jpg,2,1
179,17100.jpg,2,1
180,17100.jpg,2,1
181,17200.jpg,2,1
182,17200.jpg,2,1
183,17300.jpg,2,1
184,17300.jpg,2,1
185,17400.jpg,2,1
186,17400.jpg,2,1
187,17500.jpg,2,1
188,17500.jpg,2,1
189,17600.jpg,2,1
190,17600.jpg,2,1
191,17700.jpg,2,1
192,17700.jpg,2,1
193,17800.jpg,2,1
194,17800.jpg,2,1
195,17900.jpg,2,1
196,17900.jpg,2,1
197,18000.jpg,2,1
198,18000.jpg,2,1
199,18100.jpg,2,1
200,18100.jpg,2,1
201,18200.jpg,2,1
202,18200.jpg,2,1
203,18300.jpg,2,1
204,18300.jpg,2,1
205,18400.jpg,2,1
206,18400.jpg,2,1
207,18500.jpg,2,1
208,18500.jpg,2,1
209,18600.jpg,2,1
210,18600.jpg,2,1
211,18700.jpg,2,1
212,18700.jpg,2,1
213,18800.jpg,2,1
214,18800.jpg,2,1
215,18900.jpg,2,1
216,18900.jpg,2,1
217,19000.jpg,2,1
218,19000.jpg,2,1
219,19100.jpg,2,1
220,19100.jpg,2,1
221,19200.jpg,2,1
222,19200.jpg,2,1
223,19300.jpg,2,1
224,19300.jpg,2,1
225,19400.jpg,2,1
226,19400.jpg,2,1
227,19500.jpg,2,1
228,19500.jpg,2,1
229,19600.jpg,2,1
230,19600.jpg,2,1
231,19700.jpg,2,1
232,19700.jpg,2,1
233,19800.jpg,2,1
234,19800.jpg,2,1
235,19900.jpg,2,1
236,19900.jpg,2,1
237,20000.jpg,2,1
238,20000.jpg,2,1
239,20100.jpg,2,1
240,20100.jpg,2,1
241,20200.jpg,2,1
242,20200.jpg,2,1
243,20300.jpg,2,1
244,20300.jpg,2,1
245,20400.jpg,2,1
246,20400.jpg,2,1
247,20500.jpg,2,1
248,20500.jpg,2,1
249,20600.jpg,2,1
250,20600.jpg,2,1
251,20700.jpg,2,1
252,20700.jpg,2,1
253,20800.jpg,2,1
254,20800.jpg,2,1
255,20900.jpg,2,1
256,20900.jpg,2,1
257,21000.jpg,2,1
258,21000.jpg,2,1
259,21100.jpg,2,1
260,21100.jpg,2,1
261,21200.jpg,2,1
262,21200.jpg,2,1
263,21300.jpg,2,1
264,21300.jpg,2,1
265,21400.jpg,2,1
266,21400.jpg,2,1
267,21500.jpg,2,1
268,21500.jpg,2,1
269,21600.jpg,2,1
270,21600.jpg,2,1
271,21700.jpg,2,1
272,21700.jpg,2,1
273,21800.jpg,2,1
274,21800.jpg,2,1
275,21900.jpg,2,1
